nbeval;fitness
250000;12
250000;11
250000;11
250000;10
250000;8
250000;11
250000;13
250000;10
250000;9
250000;8
250000;10
250000;10
250000;8
250000;10
250000;9
250000;10
250000;9
250000;8
250000;9
250000;12
250000;9
250000;9
250000;9
250000;11
250000;8
250000;10
250000;9
250000;10
250000;10
250000;12
250000;10
250000;10
250000;11
250000;10
250000;12
250000;10
250000;8
250000;11
250000;9
250000;9
250000;11
250000;9
250000;11
250000;9
250000;10
250000;10
250000;9
250000;10
250000;10
250000;11
250000;9
250000;11
250000;9
250000;10
250000;9
250000;12
250000;12
250000;10
250000;9
250000;9
250000;10
250000;10
250000;9
250000;10
250000;10
250000;8
250000;9
250000;11
250000;8
250000;10
250000;9
250000;14
250000;8
250000;9
250000;11
250000;11
250000;9
250000;9
250000;12
250000;9
250000;9
250000;11
250000;11
250000;9
250000;11
250000;10
250000;8
250000;13
250000;9
250000;12
250000;10
250000;8
250000;10
250000;11
250000;10
500000;9
500000;12
500000;9
500000;12
500000;10
500000;12
500000;9
500000;8
500000;10
500000;12
500000;11
500000;10
500000;9
500000;10
500000;10
500000;11
500000;10
500000;10
500000;12
500000;10
500000;9
500000;9
500000;13
500000;11
500000;8
500000;9
500000;10
500000;10
500000;9
500000;11
500000;11
500000;13
500000;12
500000;11
500000;12
500000;9
500000;9
500000;11
500000;9
500000;11
500000;9
500000;9
500000;8
500000;12
500000;11
500000;11
500000;11
500000;10
500000;8
500000;10
500000;9
500000;9
500000;10
500000;8
500000;11
500000;9
500000;12
500000;11
500000;11
500000;11
500000;9
500000;11
500000;10
500000;11
500000;12
500000;9
500000;8
500000;10
500000;9
500000;9
500000;10
500000;11
500000;10
500000;10
500000;9
500000;11
500000;11
500000;10
500000;10
500000;9
500000;10
500000;9
500000;11
500000;12
500000;12
500000;11
500000;9
500000;10
500000;10
500000;11
500000;13
500000;10
500000;11
500000;10
500000;9
500000;10
500000;11
500000;10
500000;12
500000;11
1000000;11
1000000;11
1000000;12
1000000;11
1000000;10
1000000;11
1000000;12
1000000;11
1000000;10
1000000;10
1000000;12
1000000;9
1000000;13
1000000;10
1000000;9
1000000;9
1000000;11
1000000;9
1000000;12
1000000;10
1000000;11
1000000;12
1000000;10
1000000;11
1000000;10
1000000;12
1000000;9
1000000;10
1000000;9
1000000;10
1000000;13
1000000;14
1000000;10
1000000;10
1000000;11
1000000;10
1000000;11
1000000;11
1000000;12
1000000;11
1000000;9
1000000;12
1000000;12
1000000;9
1000000;9
1000000;11
1000000;12
1000000;10
1000000;9
1000000;9
1000000;9
1000000;11
1000000;9
1000000;14
1000000;12
1000000;9
1000000;9
1000000;11
1000000;11
1000000;13
1000000;13
1000000;10
1000000;9
1000000;10
1000000;13
1000000;9
1000000;10
1000000;13
1000000;9
1000000;10
1000000;14
1000000;9
1000000;9
1000000;10
1000000;10
1000000;10
1000000;12
1000000;11
1000000;12
1000000;11
1000000;10
1000000;12
1000000;8
1000000;9
1000000;11
1000000;11
1000000;13
1000000;10
1000000;11
1000000;9
1000000;13
1000000;10
1000000;9
1000000;11
1000000;12
1000000;11
1000000;10
1000000;10
1000000;9
1000000;12
